bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Parque das Laranjeiras Acréscimo,-16.7264091,-49.22547160000001,6052.72,3143.5,-5168.69
Parque das Nações,-16.8036135,-49.3069611,14827.31,-5531.61,-13748.65
"Parque das Paineiras (1,2,3 e 4 Etapa)",-16.7440975,-49.3418394,11682.78,-9244.65,-7134.46
Privê Residencial Elza Fronza,-16.7307709,-49.2489772,5692.84,641.17,-5653.43
Recanto Barravento,-16.6245505,-49.3041083,8077.65,-5227.91,6151.15
Recreio Panorama,-16.6283682,-49.308863,8109.19,-5734.08,5726.88
Recreio do Funcionário Público,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Residencial 14 Bis,-16.6526238,-49.3507209,10638.08,-10190.14,3031.28
Residencial Acrópole II,-16.7403362,-49.3572613,12797.26,-10886.41,-6716.45
Residencial Aldeia do Vale,-16.6129745,-49.1904301,10134.1,6873.91,7437.63
Residencial Alfa,-16.6419027,-49.307423,7002.69,-5580.79,4222.75
Residencial Alice Barbosa,-16.5946921,-49.2702031,9612.14,-1618.47,9469.41
Residencial Alice Barbosa I,-16.5946921,-49.2702031,9612.14,-1618.47,9469.41
Residencial Alphaville Flamboyant,-16.7143105,-49.20118670000001,6891.31,5728.79,-3824.14
Residencial Ana Clara,-16.7800481,-49.3644229,16117.84,-11648.82,-11129.75
Residencial Anicuns,,,,,
Residencial Antônio Barbosa,-16.5906163,-49.2676092,10018.37,-1342.34,9922.36
Residencial Antônio Carlos Pires,-16.5443928,-49.2702031,15154.54,-1618.47,15059.32
Residencial Aquários,-16.7266947,-49.329154,9457.66,-7894.2,-5200.43
Residencial Aquários II,-16.7266947,-49.329154,9457.66,-7894.2,-5200.43
Residencial Arco Verde,-16.7460874,-49.1915412,9991.93,6755.62,-7355.6
Residencial Aruanã,-16.6963387,-49.1961245,6531.9,6267.7,-1826.88
Residencial Atalaia,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Residencial Balneário,-16.6059546,-49.2944509,9234.29,-4199.82,8217.77
Residencial Barcelona,-16.745972,-49.3408879,11732.08,-9143.35,-7342.78
Residencial Barravento,-16.6270745,-49.1966915,8549.13,6207.34,5870.65
Residencial Beatriz Nascimento,-16.6973135,-49.37831629999999,13276.54,-13127.86,-1935.21
Residencial Bela Goiânia,-16.5871503,-49.2118346,11292.22,4595.25,10307.55
Residencial Belo Horizonte,-16.6409526,-49.1847363,8647.57,7480.05,4328.34
Residencial Bertim Belchior 1ª etapa,-16.7006638,-49.4132469,17012.34,-16846.46,-2307.54
Residencial Bertim Belchior 2ª etapa,-16.7006638,-49.4132469,17012.34,-16846.46,-2307.54
Residencial Bethel,-16.6746724,-49.2471093,1021.92,840.02,580.96
Residencial Brisas da Mata,-16.5964597,-49.308229,10874.0,-5666.59,9272.97
Residencial Brisas do Cerrado,-16.7568289,-49.1935936,10767.41,6537.13,-8549.34
Residencial Buena Vista I,-16.7294064,-49.3964186,16035.89,-15054.98,-5501.79
Residencial Buena Vista II,-16.7294064,-49.3964186,16035.89,-15054.98,-5501.79
Residencial Buena Vista III,-16.7294064,-49.3964186,16035.89,-15054.98,-5501.79
Residencial Buena Vista IV,,,,,
Residencial Campos Dourados,-16.8003325,-49.3651278,17800.2,-11723.86,-13384.02
Residencial Campus,-16.5950725,-49.2603838,9449.81,-573.14,9427.13
Residencial Canadá,-16.7215328,-49.3183216,8180.04,-6741.02,-4626.78
Residencial Center Ville,-16.7531336,-49.3426179,12384.59,-9327.52,-8138.67
Residencial Cidade Verde,-16.6719695,-49.3335936,8417.98,-8366.83,881.34
Residencial Cléa Borges,-16.6957469,-49.2037179,5739.34,5459.33,-1761.11
Residencial Costa Paranhos,-16.6502189,-49.1738668,9251.4,8637.18,3298.55
Residencial Della Penna,-16.716953,-49.3818168,14121.16,-13500.52,-4117.81
Residencial Dezopi,,,,,
Residencial Dom Rafael,-16.6971602,-49.3414053,9401.14,-9198.44,-1918.18
Residencial Eldorado,-16.7085504,-49.32598300000001,8204.08,-7556.63,-3184.0
Residencial Eldorado Expansão,-16.7085504,-49.32598300000001,8204.08,-7556.63,-3184.0
Residencial Eli Forte,-16.731202,-49.3532587,11918.57,-10460.31,-5701.34
Residencial Eli Forte Extensão,-16.731202,-49.3532587,11918.57,-10460.31,-5701.34
Residencial Elizene Santana,-16.6510533,-49.2718514,3675.74,-1793.95,3205.82
Residencial Estrela Dalva,-16.5885862,-49.3133707,11906.76,-6213.96,10147.97
Residencial Fidelis,-16.7444082,-49.368488,14054.52,-12081.57,-7168.99
Residencial Flamingo,-16.7400362,-49.3302621,10438.39,-8012.17,-6683.11
Residencial Flores do Cerrado,-16.7333465,-49.0760434,19964.19,19051.15,-5939.67
Residencial Flórida,-16.7168019,-49.3481832,10739.37,-9919.99,-4101.02
Residencial Fonte das Águas,-16.6005797,-49.3767388,15684.69,-12959.93,8815.1
Residencial Fortaleza,-16.6100611,-49.34310809999999,12182.6,-9379.71,7761.4
Residencial Forteville,-16.7472604,-49.3729306,14623.21,-12554.52,-7485.96
Residencial Forteville Extensão,-16.7486102,-49.3710265,14527.75,-12351.81,-7635.97
Residencial Frei Galvão,-16.7103947,-49.2568125,3396.35,-192.95,-3388.97
Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Residencial Goiânia Viva,-16.6971561,-49.3488176,10175.2,-9987.53,-1917.72
Residencial Goyaz Park,-16.7060016,-49.378643,13485.12,-13162.64,-2900.75
Residencial Granville,-16.7163479,-49.3285198,8816.97,-7826.69,-4050.56
Residencial Green Park,-16.6149936,-49.3564312,12994.47,-10798.05,7213.24
Residencial Guarema,-16.6373664,-49.2860442,5771.06,-3304.87,4726.88
Residencial Hugo de Moraes,-16.6352672,-49.2923818,6363.09,-3979.55,4960.17
Residencial Humaitá,-16.622154,-49.2761581,6805.19,-2252.42,6417.48
Residencial Itaipu,-16.7844735,-49.3678533,16722.13,-12014.01,-11621.56
Residencial Itamaracá,-16.6473997,-49.30062179999999,6056.27,-4856.75,3611.85
Residencial Itália,-16.6214845,-49.2949171,7763.7,-4249.45,6491.89
Residencial Jardim Belvedere Expansão,-16.6348111,-49.308229,7569.04,-5666.59,5010.86
Residencial Jardim Camargo,-16.6126117,-49.34252799999999,11955.49,-9317.95,7477.95
Residencial Jardim Helou,-16.707404,-49.2889563,4736.38,-3614.88,-3056.6
Residencial Jardim Leblon,-16.6748197,-49.3228123,7245.26,-7219.08,564.59
Residencial Jardins Londres,-16.7142843,-49.217834,5503.38,3956.57,-3821.23
Residencial Jardins do Cerrado 1,-16.6670479,-49.4183281,17456.27,-17387.39,1428.29
Residencial Jardins do Cerrado 10,-16.6814399,-49.4388037,19578.74,-19567.16,-171.13
