rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Belém,Vila João Vaz,-16.6542737,-49.3147569,6974.19,-6361.53,2847.93
Avenida Benedito Gonçalves de Araujo,Residencial Flamingo,-16.740423,-49.3326185,10659.4,-8263.02,-6726.1
Avenida Benedito Gonçalves de Araujo,Setor Três Marias,-16.740423,-49.3326185,10659.4,-8263.02,-6726.1
Avenida Berlim,Jardim Europa,-16.7175849,-49.3126194,7430.98,-6133.98,-4188.03
Avenida Berlim,Loteamento Celina Park,-16.710607,-49.3175903,7489.91,-6663.17,-3412.56
Avenida Berlim,Parque Anhanguera II,-16.7227303,-49.3080199,7387.04,-5644.33,-4759.86
Avenida Bernardo Sayão,Setor Centro Oeste,-16.6605219,-49.2742466,2974.25,-2048.93,2153.55
Avenida Bernardo Sayão,Setor Marechal Rondon,-16.6590734,-49.2721221,2947.8,-1822.76,2314.52
Avenida Bom Jesus,Jardim Nova Esperança,-16.6455386,-49.3191859,7832.58,-6833.03,3818.68
Avenida Bonpland,Jardim Mariliza,,,,,
Avenida Bordeaux,Jardins França,-16.7344374,-49.1828983,9784.74,7675.72,-6060.9
Avenida Bororó,Jardim Balneário Meia Ponte,-16.6138553,-49.2967111,8583.6,-4440.43,7339.74
Avenida Botafogo,Setor Pedro Ludovico,-16.7141203,-49.2458706,3927.39,971.89,-3803.0
Avenida Boulevard Conde dos Arcos,Goiânia 2,-16.6294505,-49.247797,5661.97,766.81,5606.6
Avenida Boulevard das Esmeraldas,Goiânia 2,-16.6326195,-49.2553717,5257.5,-39.57,5254.42
Avenida Brasil,Jardim Itaipu,-16.7788779,-49.362943,15914.04,-11491.27,-10999.71
Avenida Brasil,Parque João Braz - Cidade Industrial,-16.6893063,-49.3558043,10787.85,-10731.31,-1045.35
